id,name,test,fav,freq,descr
1,air,1,0,0,приобрести билеты на самолет
2,antimalware,0,NA,NA,проверить устройство на наличие вирусов
3,bank,1,0,1,узнать курс доллара и купить его
4,book,1,0,0,почитать сохраненную книгу
5,browser,1,0,1,выйти в интернет
6,calculator,1,1,1,посчитать математический пример
7,calendar,1,1,1,узнать дату ближайшего выходного
8,camera,1,1,1,сделать фотоснимок
9,cancel,0,NA,NA,закрыть меню
10,compass,1,0,0,"узнать, в какой стороне света Юг"
11,contacts,1,1,0,найти номер телефона коллеги
12,dictaphone,1,0,0,записать свой голос
13,documents,1,0,0,открыть сохраненные таблицы и офисные документы
14,download,1,0,0,открыть скачанный файл
15,editor,1,0,0,отредактировать фото
16,email,1,1,1,проверить электронную почту
17,files,1,0,1,"открыть файл, хранящийся на устройстве"
18,flashlight,0,NA,NA,включить фонарик
19,gallery,1,1,1,посмотреть сделанные фотографии
20,home,0,NA,NA,вернуться на домашнюю страницу
21,like,0,NA,NA,поставить лайк
22,maps,1,1,1,"узнать, в какой части города я сейчас нахожусь"
23,messager,1,1,1,отправить сообщение
24,metro,1,0,0,открыть схему линий метро
25,music,1,1,1,послушать музыку
26,notebook,1,1,0,сделать заметку
27,notification,0,NA,NA,включить уведомления
28,phone,1,1,1,сделать звонок
29,planner,1,0,0,создать маркированный список планов на день
30,ruler,1,0,0,измерить длину предмета
31,settings,1,1,1,изменить настройки устройства
32,star,0,NA,NA,открыть избранные вкладки
33,store,1,0,0,совершить заказ в продуктовом магазине
34,taxi,1,1,0,заказать такси
35,time,1,1,1,проверить время в другом часовом поясе
36,train,1,1,0,приобрести билеты на поезд
37,translator,1,0,1,перевести текст
38,video,0,NA,NA,посмотреть сохраненные видео
39,wallet,1,0,0,получить доступ к своим скидочным и дебетовым картам
40,weather,1,1,1,узнать погоду на завтра
